time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation_probability
2025-07-21 00:00:00,80.9,83,91.0,0
2025-07-21 01:00:00,80.1,86,89.3,0
2025-07-21 02:00:00,80.5,84,90.5,0
2025-07-21 03:00:00,79.4,91,89.4,0
2025-07-21 04:00:00,79.0,89,89.5,1
2025-07-21 05:00:00,78.8,89,88.7,0
2025-07-21 06:00:00,79.0,87,88.5,1
2025-07-21 07:00:00,78.7,87,88.3,0
2025-07-21 08:00:00,81.0,89,92.8,0
2025-07-21 09:00:00,85.5,84,98.6,0
2025-07-21 10:00:00,87.5,77,99.1,1
2025-07-21 11:00:00,87.7,80,100.6,1
2025-07-21 12:00:00,89.7,71,102.7,1
2025-07-21 13:00:00,89.7,71,103.3,1
2025-07-21 14:00:00,91.1,67,105.1,2
2025-07-21 15:00:00,90.5,70,103.6,2
2025-07-21 16:00:00,90.5,69,103.0,1
2025-07-21 17:00:00,87.6,74,96.6,1
2025-07-21 18:00:00,86.2,77,95.8,1
2025-07-21 19:00:00,86.4,75,96.2,1
2025-07-21 20:00:00,84.6,78,94.9,1
2025-07-21 21:00:00,83.0,85,94.7,1
2025-07-21 22:00:00,82.0,85,92.7,1
2025-07-21 23:00:00,82.4,79,91.6,1
2025-07-22 00:00:00,81.5,82,91.1,1
2025-07-22 01:00:00,81.5,82,90.6,1
2025-07-22 02:00:00,80.7,85,90.7,3
2025-07-22 03:00:00,79.9,88,90.3,7
2025-07-22 04:00:00,80.2,86,89.4,6
2025-07-22 05:00:00,80.1,86,89.6,4
2025-07-22 06:00:00,80.2,85,89.5,6
2025-07-22 07:00:00,80.7,89,91.1,10
2025-07-22 08:00:00,83.2,87,95.1,5
2025-07-22 09:00:00,86.0,78,96.7,10
2025-07-22 10:00:00,83.6,80,93.6,16
2025-07-22 11:00:00,84.2,78,93.2,23
2025-07-22 12:00:00,83.7,86,94.6,42
2025-07-22 13:00:00,84.2,85,94.1,39
2025-07-22 14:00:00,85.0,79,93.6,28
2025-07-22 15:00:00,87.5,68,95.7,16
2025-07-22 16:00:00,85.1,70,95.1,6
2025-07-22 17:00:00,87.9,63,96.3,3
2025-07-22 18:00:00,87.6,68,95.9,3
2025-07-22 19:00:00,85.3,75,94.7,2
2025-07-22 20:00:00,84.0,77,93.4,2
2025-07-22 21:00:00,82.9,73,90.7,5
2025-07-22 22:00:00,79.8,87,89.1,5
2025-07-22 23:00:00,80.0,87,90.6,7
2025-07-23 00:00:00,80.0,85,90.1,10
2025-07-23 01:00:00,80.4,82,90.1,6
2025-07-23 02:00:00,78.7,88,88.6,8
2025-07-23 03:00:00,77.9,91,87.9,9
2025-07-23 04:00:00,78.0,89,87.8,8
2025-07-23 05:00:00,79.1,87,89.5,4
2025-07-23 06:00:00,77.9,86,87.0,4
2025-07-23 07:00:00,77.1,90,86.0,3
2025-07-23 08:00:00,79.6,94,91.5,6
2025-07-23 09:00:00,81.8,92,94.1,9
2025-07-23 10:00:00,85.8,79,97.8,13
2025-07-23 11:00:00,83.9,86,94.7,21
2025-07-23 12:00:00,84.2,87,97.0,33
2025-07-23 13:00:00,79.0,98,90.9,26
2025-07-23 14:00:00,84.9,77,95.1,30
2025-07-23 15:00:00,86.5,73,96.5,35
2025-07-23 16:00:00,86.6,68,95.2,41
2025-07-23 17:00:00,78.8,96,84.9,67
2025-07-23 18:00:00,77.4,93,87.5,75
2025-07-23 19:00:00,77.4,92,86.7,68
2025-07-23 20:00:00,77.6,93,87.3,46
2025-07-23 21:00:00,77.0,93,85.7,26
2025-07-23 22:00:00,76.5,93,85.4,13
2025-07-23 23:00:00,77.0,93,87.1,9
2025-07-24 00:00:00,76.9,89,84.7,6
2025-07-24 01:00:00,76.4,95,85.6,16
2025-07-24 02:00:00,76.4,95,85.5,17
2025-07-24 03:00:00,76.3,94,85.0,14
2025-07-24 04:00:00,76.1,93,84.7,6
2025-07-24 05:00:00,75.9,94,84.5,4
2025-07-24 06:00:00,76.0,92,84.2,3
2025-07-24 07:00:00,76.1,90,83.5,3
2025-07-24 08:00:00,78.2,92,87.7,5
2025-07-24 09:00:00,81.2,86,89.8,7
2025-07-24 10:00:00,83.4,84,93.1,1
2025-07-24 11:00:00,86.2,69,95.1,2
2025-07-24 12:00:00,87.8,67,98.8,4
2025-07-24 13:00:00,87.8,66,99.9,3
2025-07-24 14:00:00,89.2,65,103.0,4
2025-07-24 15:00:00,88.5,68,100.5,5
2025-07-24 16:00:00,90.5,61,102.2,3
2025-07-24 17:00:00,89.3,65,99.4,13
2025-07-24 18:00:00,89.0,62,96.3,10
2025-07-24 19:00:00,85.5,65,91.0,15
2025-07-24 20:00:00,80.6,85,90.0,36
2025-07-24 21:00:00,78.0,91,86.4,58
2025-07-24 22:00:00,78.1,90,87.5,46
2025-07-24 23:00:00,77.8,89,86.2,25
2025-07-25 00:00:00,77.9,93,87.9,4
2025-07-25 01:00:00,77.0,93,86.6,1
2025-07-25 02:00:00,76.9,94,87.0,2
2025-07-25 03:00:00,76.4,93,86.0,1
2025-07-25 04:00:00,76.4,92,85.2,0
2025-07-25 05:00:00,76.1,94,85.2,0
2025-07-25 06:00:00,75.8,91,84.5,0
2025-07-25 07:00:00,75.5,92,84.0,0
2025-07-25 08:00:00,78.3,95,89.6,1
2025-07-25 09:00:00,82.3,90,93.1,1
2025-07-25 10:00:00,84.8,83,95.3,2
2025-07-25 11:00:00,86.9,76,98.3,3
2025-07-25 12:00:00,89.0,68,101.2,1
2025-07-25 13:00:00,91.4,63,103.2,1
2025-07-25 14:00:00,93.3,55,104.9,1
2025-07-25 15:00:00,93.3,58,106.0,1
2025-07-25 16:00:00,91.8,66,104.1,3
2025-07-25 17:00:00,91.3,63,100.2,7
2025-07-25 18:00:00,89.6,72,99.6,27
2025-07-25 19:00:00,86.4,73,94.6,24
2025-07-25 20:00:00,81.4,87,91.1,38
2025-07-25 21:00:00,76.5,88,83.7,55
2025-07-25 22:00:00,78.1,89,87.1,35
2025-07-25 23:00:00,78.2,91,88.1,11
2025-07-26 00:00:00,78.1,92,87.7,5
2025-07-26 01:00:00,77.6,91,86.8,0
2025-07-26 02:00:00,77.9,91,87.7,0
2025-07-26 03:00:00,77.3,92,86.9,0
2025-07-26 04:00:00,77.8,95,88.0,0
2025-07-26 05:00:00,77.4,93,87.8,0
2025-07-26 06:00:00,77.0,92,86.7,0
2025-07-26 07:00:00,76.9,89,85.8,0
2025-07-26 08:00:00,78.8,95,90.0,0
2025-07-26 09:00:00,81.6,92,93.6,0
2025-07-26 10:00:00,84.4,85,97.2,0
2025-07-26 11:00:00,86.7,75,99.9,0
2025-07-26 12:00:00,87.4,80,104.3,0
2025-07-26 13:00:00,89.3,69,105.0,0
2025-07-26 14:00:00,89.6,65,105.1,0
2025-07-26 15:00:00,89.4,67,104.6,1
2025-07-26 16:00:00,88.8,62,99.7,1
2025-07-26 17:00:00,87.3,68,98.0,1
2025-07-26 18:00:00,86.0,85,98.3,1
2025-07-26 19:00:00,85.6,78,95.5,1
2025-07-26 20:00:00,83.8,81,94.2,0
2025-07-26 21:00:00,82.1,82,91.2,0
2025-07-26 22:00:00,81.5,85,91.9,0
2025-07-26 23:00:00,80.8,85,90.1,0
2025-07-27 00:00:00,80.6,87,91.0,0
2025-07-27 01:00:00,79.7,90,90.1,0
2025-07-27 02:00:00,80.1,90,91.0,0
2025-07-27 03:00:00,80.3,89,90.8,0
2025-07-27 04:00:00,80.0,85,89.1,0
2025-07-27 05:00:00,79.5,89,90.1,0
2025-07-27 06:00:00,79.7,90,90.8,0
2025-07-27 07:00:00,78.8,89,89.3,0
2025-07-27 08:00:00,80.8,94,93.6,0
2025-07-27 09:00:00,83.6,89,97.0,0
2025-07-27 10:00:00,85.7,88,97.9,1
